Model	Yr1	Yr1.5	Yr2	Yr2.5	Yr3	Yr3.5	Yr4	Yr4.5	Start Date	days / year	calendar
ACCESS1-0	2014	2026	2040	2052	2064	2072	2084	2089	1850-01-01	365.2425	proleptic_gregorian
ACCESS1-3	2016	2034	2042	2050	2060	2070	2085	2093	1850-01-01	365.2425	proleptic_gregorian
CMCC-CESM	2033	2041	2048	2067	2072	2085	2087	NA	1850-01-01	365.2422	gregorian
CMCC-CM	2015	2031	2044	2052	2060	2071	2079	2088	1850-01-01	365.2422	gregorian
CMCC-CMS	2020	2031	2043	2055	2064	2071	2078	2088	1850-01-01	365.2422	gregorian
CNRM-CM5	2017	2035	2045	2057	2067	2077	2089	2100	1850-01-01	365.2422	gregorian
CSIRO-Mk3-6-0	2024	2035	2045	2055	2065	2077	2083	2091	1850-01-01	365	noleap
CanESM2	2003	2015	2030	2041	2048	2058	2071	2078	1850-01-01	365	365_day
GFDL-ESM2M	2020	2041	2053	2069	2084	2095	NA	NA	1861-01-01	365	noleap
GFDL-CM3	2012	2025	2035	2050	2055	2065	2070	2082	1860-01-01	365	noleap
GFDL-ESM2G	2021	2043	2056	2071	2083	2092	NA	NA	1861-01-01	365	noleap
HadGEM2-AO	2019	2036	2047	2053	2061	2073	2077	2090	1860-01-01	360	360_day
HadGEM2-CC	2019	2029	2042	2050	2058	2062	2072	2087	1860-01-01	360	360_day
HadGEM2-ES	2014	2030	2035	2048	2057	2065	2073	2078	1860-01-01	360	360_day
GISS-E2-R-CC	2008	2033	2050	2069	2084	NA	NA	NA		365	365_day
GISS-E2-H-CC	1996	2018	2035	2053	2065	2083	NA	NA		365	365_day
GISS-E2-R	2013	2033	2053	2073	2087	NA	NA	NA		365	365_day
GISS-E2-H	2002	2021	2036	2053	2068	2081	NA	NA		365	365_day
IPSL-CM5A-LR	1997	2015	2028	2041	2048	2056	2065	2076		365	noleap
IPSL-CM5B-LR	2003	2025	2036	2050	2064	2074	2090	2096	1850-01-01	365	noleap
IPSL-CM5A-MR	2000	2015	2031	2042	2051	2060	2068	2075	1850-01-01	365	noleap
MIROC-ESM-CHEM	2009	2019	2030	2042	2048	2058	2069	2076	1850-01-01	365.25	gregorian
MIROC-ESM	2015	2021	2031	2042	2053	2063	2072	2076	1850-01-01	365.25	gregorian
MIROC5	2018	2038	2052	2063	2075	2086	2096	NA	1850-01-01	365	noleap
MPI-ESM-LR	2006	2025	2038	2050	2062	2072	2083	2091	1850-01-01	365.25	proleptic_gregorian
MPI-ESM-MR	1999	2026	2040	2051	2062	2071	2085	2096	1850-01-01	365.25	proleptic_gregorian
MRI-CGCM3	2026	2041	2054	2063	2079	2088	2099	NA	1850-01-01	365.2	gregorian
MRI-ESM1	2029	2037	2053	2065	2075	2083	2097	NA	1851-01-01	365.25	gregorian
NorESM1-ME	2015	2033	2048	2058	2069	2081	2092	NA	1850-01-01	365	noleap
NorESM1-M	2019	2033	2050	2061	2073	2087	2095	NA	1850-01-01	365	noleap
inmcm4	2024	2047	2059	2069	2086	2099	NA	NA	1850-01-01	365	365_day
											
