var,domain,gcm,rcm,missing_dates,repeated_dates
pr,AFR,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,AFR,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,AFR,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,AFR,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,AFR,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,AFR,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,AUS,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,AUS,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,AUS,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,AUS,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,AUS,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,AUS,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,CAM,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,CAM,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,CAM,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,CAM,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,CAM,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,CAM,NOAA-GFDL-GFDL-ESM2M,RegCM4,NA,FALSE
pr,CAS,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,CAS,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,CAS,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,EAS,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,EAS,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,EAS,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,EAS,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,EAS,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,EAS,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,EUR,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,EUR,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,EUR,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,EUR,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,EUR,MPI-M-MPI-ESM-LR,RegCM4,NA,FALSE
pr,EUR,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,NAM,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,NAM,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,NAM,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,NAM,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,NAM,MPI-M-MPI-ESM-LR,RegCM4,NA,FALSE
pr,NAM,NOAA-GFDL-GFDL-ESM2M,RegCM4,NA,FALSE
pr,SAM,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,SAM,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,SAM,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,SAM,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,SAM,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,SAM,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,SEA,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,SEA,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,SEA,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,SEA,MOHC-HadGEM2-ES,RegCM4,NA,FALSE
pr,SEA,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,SEA,NCC-NorESM1-M,RegCM4,NA,FALSE
pr,WAS,MOHC-HadGEM2-ES,REMO2015,NA,FALSE
pr,WAS,MPI-M-MPI-ESM-LR,REMO2015,NA,FALSE
pr,WAS,NCC-NorESM1-M,REMO2015,NA,FALSE
pr,WAS,MIROC-MIROC5,RegCM4,NA,FALSE
pr,WAS,MPI-M-MPI-ESM-MR,RegCM4,NA,FALSE
pr,WAS,NCC-NorESM1-M,RegCM4,NA,FALSE
