file,var,domain,gcm,scenario,ensemble,rcm,version,freq,start_date,end_date,calendar
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1970.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1970-01-01,1970-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1971.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1971-01-01,1971-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1972.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1972-01-01,1972-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1973.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1973-01-01,1973-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1974.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1974-01-01,1974-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1975.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1975-01-01,1975-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1976.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1976-01-01,1976-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1977.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1977-01-01,1977-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1978.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1978-01-01,1978-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1979.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1979-01-01,1979-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1980.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1980-01-01,1980-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1981.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1981-01-01,1981-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1982.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1982-01-01,1982-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1983.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1983-01-01,1983-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1984.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1984-01-01,1984-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1985.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1985-01-01,1985-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1986.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1986-01-01,1986-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1987.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1987-01-01,1987-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1988.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1988-01-01,1988-12-30,360_day
gs://cmip5_data/RCM_regridded_data/REMO2015/AFR/daily/precipitation/pr_AFR-22_MOHC-HadGEM2-ES_historical_r1i1p1_GERICS-REMO2015_v1_day_1989.nc,pr,AFR-22,MOHC-HadGEM2-ES,historical,r1i1p1,REMO2015,v1,day,1989-01-01,1989-12-30,360_day
