var_final,var_derived,var_input,change_import,parallel,volume
days-above-32C,days-gte-32C-tasmax,maximum_temperature,nothing,y,heat
days-above-35C,days-gte-35C-tasmax,maximum_temperature,nothing,y,heat
days-above-38C,days-gte-38C-tasmax,maximum_temperature,nothing,y,heat
ten-hottest-days,ten-hottest-days-tasmax,maximum_temperature,fix-time+convert-C,n,heat
average-daytime-temperature,mean-tasmax,maximum_temperature,convert-C,y,heat
freezing-days,days-lt-0C-tasmax,maximum_temperature,nothing,y,heat
likelihood-daytime-heatwave,prop-days-gte-b90perc-3dayrunmean-tasmax,maximum_temperature,nothing,n,heat
nights-above-20C,days-gte-20C-tasmin,minimum_temperature,nothing,y,heat
nights-above-25C,days-gte-25C-tasmin,minimum_temperature,nothing,y,heat
ten-hottest-nights,ten-hottest-days-tasmin,minimum_temperature,fix-time+convert-C,n,heat
average-nighttime-temperature,mean-tasmin,minimum_temperature,convert-C,y,heat
frost-nights,days-lt-0C-tasmin,minimum_temperature,nothing,y,heat
likelihood-nighttime-heatwave,prop-days-gte-b90perc-3dayrunmean-tasmin,minimum_temperature,nothing,n,heat
days-above-26C-wetbulb,days-gte-26C-wetbulb,maximum_wetbulb_temperature,nothing,y,heat
days-above-28C-wetbulb,days-gte-28C-wetbulb,maximum_wetbulb_temperature,nothing,y,heat
days-above-30C-wetbulb,days-gte-30C-wetbulb,maximum_wetbulb_temperature,nothing,y,heat
days-above-32C-wetbulb,days-gte-32C-wetbulb,maximum_wetbulb_temperature,nothing,y,heat
ten-hottest-wetbulb-days,ten-hottest-days-wetbulb,maximum_wetbulb_temperature,fix-time,n,heat
average-temperature,mean-tasmean,average_temperature,convert-C,y,heat
change-total-annual-precipitation,total-precip,precipitation,convert-mm,y,water
change-90-wettest-days,ninety-wettest-days,precipitation,convert-mm,n,water
change-100yr-storm-precip,100yr-storm-precip,NA,NA,-,water
change-100yr-storm-freq,100yr-storm-freq,NA,NA,-,water
change-snowy-days,days-gte-1mm-precip-lt-0C-tasmean,precipitation+average_temperature,nothing,n,water
change-dry-hot-days,days-gte-b90perc-tasmax-lt-b10perc-precip,precipitation+maximum_temperature,nothing,n,water
change-water-balance,mean-spei,spei,nothing,y,land
likelihood-yearplus-drought,prop-months-lte-neg0.8-spei,spei,nothing,y,land
likelihood-yearplus-extreme-drought,prop-months-lte-neg1.6-spei,spei,nothing,y,land
change-wildfire-days,days-gte-b95perc-fwi,fire_weather_index,nothing,n,land
